"","Phenotype","Chr","qtl_type","Pos_bp","Lod","Status","Gene","Gene_chr","Gene_start","Gene_end","mash_protein","abs_pos","is_mash","mouse_tau"
"102","Fah__1","7","cis",84114280,52.6252613291138,"Significant_001","Fah","7",84585159,84605942,NA,1121818501,FALSE,-0.0586672850306723
"103","Fah__1","7","trans",86718621,52.6252610425563,"Significant_001","Fah","7",84585159,84605942,NA,1124422842,FALSE,-0.0586672850306723
"104","Cyp2c44","19",NA,44016755,52.5793589631329,"Significant_001","Cyp2c44",NA,NA,NA,NA,2571330562,FALSE,-0.023181623346052
"105","Acot6","12","trans",82437726,52.5232876219376,"Significant_001","Acot6","12",84100654,84109783,NA,1807357265,FALSE,-0.0422628900267624
"106","Dpp7","2","cis",25627846,52.5171511260577,"Significant_001","Dpp7","2",25352290,25356389,NA,228099817,FALSE,-0.09439186008109
"107","Dpp7","2","trans",24349978,52.5145910118109,"Significant_001","Dpp7","2",25352290,25356389,NA,226821949,FALSE,-0.09439186008109
"108","Cyp2c39","19","cis",40295041,52.3802916790032,"Significant_001","Cyp2c39","19",39347346,39569568,NA,2567608848,FALSE,0.0799894223867629
"109","Ctsh","9","cis",90076043,51.9634854223108,"Significant_001","Ctsh","9",90054267,90076095,NA,1416622936,FALSE,-0.0224367757938599
"110","Me1__1","9","cis",87246172,51.812822764435,"Significant_001","Me1","9",86581363,86695914,NA,1413793065,FALSE,0.00173563533388143
"111","Aspa","11","trans",74422469,51.7862285278277,"Significant_001","Aspa","11",73304987,73326876,NA,1670259465,FALSE,0.0347444596481824
"112","Aspa","11","cis",72908399,51.7862281311279,"Significant_001","Aspa","11",73304987,73326876,NA,1668745395,FALSE,0.0347444596481824
"113","Cyp3a25","5","cis",146300012,51.7497899466644,"Significant_001","Cyp3a25","5",145977192,146009644,NA,868433003,FALSE,-0.0435454743484341
"114","Acy3","19","cis",4149484,51.6713110499815,"Significant_001","Acy3","19",3986570,3990007,NA,2531463291,FALSE,-0.0798181447674459
"115","Parp3__1","9","trans",105034283,51.5422853600566,"Significant_001","Parp3","9",106470322,106476949,NA,1431581176,FALSE,-0.0826085017172934
"116","Ctsh","9","trans",92272169,51.5204499618394,"Significant_001","Ctsh","9",90054267,90076095,NA,1418819062,FALSE,-0.0224367757938599
"117","Sardh__1","2","cis",27676778,51.5071101646327,"Significant_001","Sardh","2",27188393,27248332,NA,230148749,FALSE,-0.123848472711175
"118","Cyp3a25","5","trans",144901192,51.4541282907789,"Significant_001","Cyp3a25","5",145977192,146009644,NA,867034183,FALSE,-0.0435454743484341
"119","Decr1__2","4","cis",15286684,51.380150362557,"Significant_001","Decr1","4",15917240,15945377,NA,573911559,FALSE,0.00634525792103211
"120","Sardh__1","2","trans",28230603,51.3491702012041,"Significant_001","Sardh","2",27188393,27248332,NA,230702574,FALSE,-0.123848472711175
"121","Utrn","10","cis",12665001,51.3465812513161,"Significant_001","Utrn","10",12382187,12869888,NA,1470807004,FALSE,0.0471610046078131
"122","Qprt__1","7","trans",128205662,51.2548477028539,"Significant_001","Qprt","7",127107770,127122029,NA,1165909883,FALSE,0.0893606256719438
"123","Asl__1","5","cis",129560238,51.1271945612937,"Significant_001","Asl","5",130011258,130024381,NA,851693229,FALSE,-0.0484502252109816
"124","Asl__1","5","trans",128984720,51.0483525799304,"Significant_001","Asl","5",130011258,130024381,NA,851117711,FALSE,-0.0484502252109816
"125","Eprs__1","1","trans",184075000,50.9477712650186,"Significant_001","Eprs","1",185361417,185428360,NA,184075000,FALSE,0.00531933582084308
"126","Fam207a__1","10","cis",77016053,50.8218024724681,"Significant_001","Fam207a","10",77486655,77516924,NA,1535158056,FALSE,-0.0561158995048597
"127","unknow_334","7",NA,102711393,50.7714548298238,"Significant_001","unknow_334",NA,NA,NA,NA,1140415614,FALSE,0.03605743279715
"128","Inmt","6","cis",55498083,50.7005133424242,"Significant_001","Inmt","6",55170627,55174990,NA,936465758,FALSE,-0.0506847678675577
"129","unknow_7","1",NA,88415333,50.5017676615587,"Significant_001","unknow_7",NA,NA,NA,NA,88415333,FALSE,-0.103569206403077
"130","Pzp__3","6","trans",131365151,50.465057547662,"Significant_001","Pzp","6",128483567,128526720,NA,1012332826,FALSE,0.0281004279359993
"131","Pzp__3","6","cis",129451787,50.4650568352746,"Significant_001","Pzp","6",128483567,128526720,NA,1010419462,FALSE,0.0281004279359993
"132","Rplp2__1","7","cis",141495845,50.413431854058,"Significant_001","Rplp2","7",141447651,141451359,NA,1179200066,FALSE,0.0315998060585619
"133","Rplp2__1","7","trans",140099937,50.4134318357863,"Significant_001","Rplp2","7",141447651,141451359,NA,1177804158,FALSE,0.0315998060585619
"134","Bhmt2","13","cis",94174355,50.3862053717021,"Significant_001","Bhmt2","13",93656097,93674302,NA,1946222916,FALSE,-0.0540295549887219
"135","Ephx2","14","trans",62587727,50.3518744900581,"Significant_001","Ephx2","14",66084372,66124522,NA,2042057927,FALSE,0.0444449129020244
"136","Bhmt2","13","trans",92309497,50.3134474122547,"Significant_001","Bhmt2","13",93656097,93674302,NA,1944358058,FALSE,-0.0540295549887219
"137","Decr1__2","4","trans",14801568,50.2782758824071,"Significant_001","Decr1","4",15917240,15945377,NA,573426443,FALSE,0.00634525792103211
"138","Ephx2","14","cis",65193200,50.2573292637064,"Significant_001","Ephx2","14",66084372,66124522,NA,2044663400,FALSE,0.0444449129020244
"139","Ganc__1","2","cis",120461407,50.2274721766849,"Significant_001","Ganc","2",120403896,120460866,NA,322933378,FALSE,-0.0811954100526312
"140","Ganc__1","2","trans",121414096,50.1211494352927,"Significant_001","Ganc","2",120403896,120460866,NA,323886067,FALSE,-0.0811954100526312
"141","Ppif__1","14","cis",25502722,50.0802930245572,"Significant_001","Ppif","14",25693574,25700468,NA,2004972922,FALSE,-0.0377974998418956
"142","Rrbp1__1","2","trans",146260378,50.0787495708403,"Significant_001","Rrbp1","2",143947395,144011296,NA,348732349,FALSE,0.112175648702595
"143","Rrbp1__1","2","cis",144585660,49.9438069645173,"Significant_001","Rrbp1","2",143947395,144011296,NA,347057631,FALSE,0.112175648702595
"144","Cat__2","2","trans",104590594,49.6400948824193,"Significant_001","Cat","2",103453904,103485153,NA,307062565,FALSE,-0.146559296189332
"145","Cat__2","2","cis",104112239,49.6400944780175,"Significant_001","Cat","2",103453904,103485153,NA,306584210,FALSE,-0.146559296189332
"146","Ces2e__1","8","cis",104961810,49.5530585514422,"Significant_001","Ces2e","8",104926260,104934672,NA,1295107490,FALSE,-0.0131613157099592
"147","Acy3","19","trans",5031870,49.464537598374,"Significant_001","Acy3","19",3986570,3990007,NA,2532345677,FALSE,-0.0798181447674459
"148","Ttc9c__1","19","trans",6906769,49.3819292907624,"Significant_001","Ttc9c","19",8809066,8819353,NA,2534220576,FALSE,0.0181845116847524
"149","Ttc9c__1","19","cis",7909832,49.3819292907624,"Significant_001","Ttc9c","19",8809066,8819353,NA,2535223639,FALSE,0.0181845116847524
"150","Afmid__1","11","cis",117814221,49.2163632687222,"Significant_001","Afmid","11",117825503,117839908,NA,1713651217,FALSE,-0.0551415379001586
"151","Snx7","3","trans",116508008,49.1283398552693,"Significant_001","Snx7","3",117781497,117868936,NA,508093203,FALSE,-0.042023445104318
"152","Snx7","3","cis",116807393,49.1283393773382,"Significant_001","Snx7","3",117781497,117868936,NA,508392588,FALSE,-0.042023445104318
"153","Uba6__1","5","cis",86046567,49.102290719996,"Significant_001","Uba6","5",86110720,86172743,NA,808179558,FALSE,0.0772463126532735
"154","Uba6__1","5","trans",87125120,49.1022907159426,"Significant_001","Uba6","5",86110720,86172743,NA,809258111,FALSE,0.0772463126532735
"155","Acox1__1","11","cis",115431126,49.0382223194545,"Significant_001","Acox1","11",116171883,116199045,"Acox1__1",1711268122,TRUE,-0.0596510459486617
"156","Acox1__1","11","trans",115163527,49.0351518407582,"Significant_001","Acox1","11",116171883,116199045,"Acox1__1",1711000523,TRUE,-0.0596510459486617
"157","Inmt","6","trans",54039794,48.9415682242447,"Significant_001","Inmt","6",55170627,55174990,NA,935007469,FALSE,-0.0506847678675577
"158","S100a13","3","cis",90488316,48.8847397820207,"Significant_001","S100a13","3",90514233,90524581,NA,482073511,FALSE,0.014861816725341
"159","Pon1__1","6","trans",4082566,48.7931451914144,"Significant_001","Pon1","6",5168090,5193987,NA,885050241,FALSE,-0.0515560989663484
"160","Utrn","10","trans",11297872,48.6811477364988,"Significant_001","Utrn","10",12382187,12869888,NA,1469439875,FALSE,0.0471610046078131
"161","Ces2a__2","8","cis",104511147,48.4711388112808,"Significant_001","Ces2a","8",104734003,104741634,NA,1294656827,FALSE,-0.145027439902748
"162","Sugct","13","trans",14637787,48.2193011401295,"Significant_001","Sugct","13",16857472,17694795,NA,1866686348,FALSE,0.0360930575025133
"163","Wbscr27","5",NA,134932270,48.2139207486543,"Significant_001","Wbscr27",NA,NA,NA,NA,857065261,FALSE,-0.00332914838691475
"164","Sugct","13","cis",16030577,48.1605681721273,"Significant_001","Sugct","13",16857472,17694795,NA,1868079138,FALSE,0.0360930575025133
"165","Akr1c19","13","cis",4592461,48.0023364314565,"Significant_001","Akr1c19","13",4233503,4248361,NA,1856641022,FALSE,-0.0578662225688808
"166","Me1__1","9","trans",82876163,47.98888344402,"Significant_001","Me1","9",86581363,86695914,NA,1409423056,FALSE,0.00173563533388143
"167","Aldh4a1","4","trans",137658319,47.9113180480941,"Significant_001","Aldh4a1","4",139622871,139649691,NA,696283194,FALSE,0.0536394507603721
"168","Gcdh__2","8","cis",84234979,47.8936983383481,"Significant_001","Gcdh","8",84886387,84893921,NA,1274380659,FALSE,0.00336990595611285
"169","Hddc2","10","cis",31609654,47.8828700621401,"Significant_001","Hddc2","10",31313330,31328204,NA,1489751657,FALSE,0.00759989775922297
"170","Fam207a__1","10","trans",76460687,47.8376143162889,"Significant_001","Fam207a","10",77486655,77516924,NA,1534602690,FALSE,-0.0561158995048597
"171","Lace1","10",NA,42181939,47.6920280347981,"Significant_001","Lace1",NA,NA,NA,NA,1500323942,FALSE,-0.0142053068882337
"172","Tnks1bp1","2","trans",92024398,47.4831897293853,"Significant_001","Tnks1bp1","2",85048013,85073048,NA,294496369,FALSE,0.0863377609108159
"173","Tnks1bp1","2","cis",84587389,47.4831892604347,"Significant_001","Tnks1bp1","2",85048013,85073048,NA,287059360,FALSE,0.0863377609108159
"174","Cyp2d40__1","15","trans",84331036,47.4691946621384,"Significant_001","Cyp2d40","15",82759833,82764122,NA,2195703480,FALSE,0.0568813716404078
"175","Gcat","15","trans",80082502,47.4433810482783,"Significant_001","Gcat","15",79030874,79042531,NA,2191454946,FALSE,-0.0573477250489237
"176","Gcat","15","cis",78296978,47.4433810482783,"Significant_001","Gcat","15",79030874,79042531,NA,2189669422,FALSE,-0.0573477250489237
"177","Aldh1a1__2","19","cis",20699987,47.3590628800026,"Significant_001","Aldh1a1","19",20492583,20643463,NA,2548013794,FALSE,0.233748620977999
"178","Aldh4a1","4","cis",139965526,47.326951264235,"Significant_001","Aldh4a1","4",139622871,139649691,NA,698590401,FALSE,0.0536394507603721
"179","S100a13","3","trans",93560984,47.3042308657944,"Significant_001","S100a13","3",90514233,90524581,NA,485146179,FALSE,0.014861816725341
"180","Aldh1a1__2","19","trans",18652389,47.3016999173081,"Significant_001","Aldh1a1","19",20492583,20643463,NA,2545966196,FALSE,0.233748620977999
"181","Ppif__1","14","trans",26943932,47.2872879323391,"Significant_001","Ppif","14",25693574,25700468,NA,2006414132,FALSE,-0.0377974998418956
"182","Plec__3","15","cis",75597502,47.2758360545591,"Significant_001","Plec","15",76170974,76231378,NA,2186969946,FALSE,0.0440654622622285
"183","Plec__3","15","trans",77367575,47.2758354718883,"Significant_001","Plec","15",76170974,76231378,NA,2188740019,FALSE,0.0440654622622285
"184","Akr1c19","13","trans",5870051,47.1539361841267,"Significant_001","Akr1c19","13",4233503,4248361,NA,1857918612,FALSE,-0.0578662225688808
"185","Pcyt2__1","11","trans",121670916,47.1252097740791,"Significant_001","Pcyt2","11",120610062,120617947,NA,1717507912,FALSE,0.0603958935008538
"186","Pcyt2__1","11","cis",121296879,47.1252097740791,"Significant_001","Pcyt2","11",120610062,120617947,NA,1717133875,FALSE,0.0603958935008538
"187","Cyp2d40__1","15","cis",82759901,47.1110622355238,"Significant_001","Cyp2d40","15",82759833,82764122,NA,2194132345,FALSE,0.0568813716404078
"188","Nudt1","5","trans",139150404,47.102050172195,"Significant_001","Nudt1","5",140321622,140338137,NA,861283395,FALSE,0.0388765377204684
"189","Pdzk1__1","3","cis",95870565,47.0744973819708,"Significant_001","Pdzk1","3",96829456,96870926,NA,487455760,FALSE,-0.213651790796214
"190","Pdzk1__1","3","trans",95820095,47.0744973816552,"Significant_001","Pdzk1","3",96829456,96870926,NA,487405290,FALSE,-0.213651790796214
"191","Afmid__1","11","trans",116438900,47.0082402482846,"Significant_001","Afmid","11",117825503,117839908,NA,1712275896,FALSE,-0.0551415379001586
"192","Rdh7__1","10","cis",127877211,46.9832522615942,"Significant_001","Rdh7","10",127884027,127889247,NA,1586019214,FALSE,-0.0223243459746611
